state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
Utah,155573,1821224,0.085422221538921,68,378,0.17989417989418,67.0,0.985294117647059,1.0,0.014705882352941,43.7093840190779,18.6113417516635,2007
Vermont,55351,489141,0.11315960019708,19,89,0.213483146067416,18.0,0.947368421052632,1.0,0.052631578947368,34.3263897671226,16.1368404066484,2007
Virginia,757595,5779184,0.131090306174713,178,880,0.202272727272727,173.0,0.971910112359551,5.0,0.028089887640449,23.4954032167583,13.9796387159523,2007
Washington,622263,4888868,0.127281612021433,229,865,0.264739884393064,223.0,0.973799126637555,6.0,0.026200873362445,36.801159638288,14.9064654450084,2007
West Virginia,171036,1423318,0.120167102502744,67,300,0.223333333333333,67.0,1.0,0.0,0.0,39.1730395940036,18.606032826472,2007
Wisconsin,450802,4277566,0.105387503080023,128,729,0.175582990397805,,0.0,,0.0,28.3938403112675,15.7051754432727,2007
Wyoming,51494,393326,0.130919390022526,27,101,0.267326732673267,,0.0,,0.0,52.4332931992077,21.6480610358305,2007
Total,22858375,226248236,0.101032279429573,6812,34562,0.197095075516463,4550.0,0.66793893129771,123.0,0.018056371109806,29.8008935455823,13.6437479545748,2007
Alabama,402072,3521323,0.114182084404072,138,604,0.228476821192053,,0.0,,0.0,34.322210947293,14.9394838696854,2008
Alaska,67833,486235,0.13950661717071,27,169,0.159763313609467,27.0,1.0,0.0,0.0,39.8036353986997,33.9386523008972,2008
Arizona,551053,4768630,0.115557927538937,233,972,0.239711934156379,,0.0,,0.0,42.2826842427135,17.5219089064645,2008
Arkansas,243494,2145844,0.113472367982015,96,447,0.214765100671141,90.0,0.9375,6.0,0.0625,39.4260228178107,18.4508634057876,2008
California,2034700,27233110,0.074714199002611,727,3775,0.192582781456954,712.0,0.979367262723521,15.0,0.020632737276479,35.7300830589276,12.0960012953198,2008
Colorado,415094,3705758,0.11201325073035,188,803,0.23412204234122,179.0,0.952127659574468,9.0,0.047872340425532,45.2909461471378,18.6892371873883,2008
Connecticut,237074,2684092,0.088325586455308,46,315,0.146031746031746,,0.0,,0.0,19.4032243097092,10.9929718539054,2008
